"X1.04745931505517" "X0.712829416415242"
"1" 0 0
"2" 0 0
"3" -1 -1
"4" 0 0
"5" 1 1
"6" 0 0
"7" -1 -1
"8" 0 0
"9" -1 -1
"10" -1 -1
"11" -1 -1
"12" 1 1
"13" 1 1
"14" 0 0
"15" -1 -1
"16" -1 -1
"17" -1 -1
"18" -1 -1
"19" 0 0
"20" 1 1
"21" 1 1
"22" 1 1
"23" 0 0
"24" 1 1
"25" 0 0
"26" 1 1
"27" 0 0
"28" 1 1
"29" 0 0
"30" 1 1
"31" 1 1
"32" -1 0
"33" 1 1
"34" 0 0
"35" 0 0
"36" 0 0
"37" -1 0
"38" -1 -1
"39" 0 0
"40" 1 1
"41" 1 1
"42" 0 0
"43" 0 0
"44" 0 0
"45" 0 0
"46" 0 0
"47" 0 0
"48" 0 0
"49" 0 0
"50" -1 -1
"51" 0 0
"52" -1 -1
"53" 1 1
"54" 0 0
"55" 1 1
"56" 1 0
"57" 0 0
"58" 0 0
"59" 0 0
"60" 0 0
"61" -1 -1
"62" -1 0
"63" 0 0
"64" 0 0
"65" 1 1
"66" 0 0
"67" 0 -1
"68" -1 -1
"69" 1 0
"70" 0 0
"71" 0 0
"72" 0 0
"73" 1 1
"74" 0 1
"75" 1 1
"76" 0 0
"77" 1 1
"78" 1 1
"79" 1 1
"80" 0 0
"81" 0 0
"82" 0 -1
"83" 0 -1
"84" 0 0
"85" 1 1
"86" 1 0
"87" -1 -1
"88" 1 1
"89" 0 0
"90" 0 0
"91" 1 1
"92" -1 -1
"93" 0 0
"94" 0 0
"95" 0 0
"96" 0 0
"97" 1 1
"98" 0 0
"99" 0 1
"100" 0 0
"101" 1 1
"102" 1 1
"103" 1 1
"104" 1 1
"105" 0 0
"106" 0 0
"107" 1 1
"108" 0 0
"109" 1 1
"110" 1 1
"111" 1 1
"112" 0 0
"113" -1 -1
"114" 1 1
"115" -1 0
"116" 0 1
"117" 1 1
"118" 0 0
"119" 1 1
"120" 1 1
"121" 1 1
"122" 0 0
"123" 0 0
"124" 0 0
"125" 1 1
"126" 1 1
"127" 0 0
"128" 1 1
"129" 1 0
"130" 1 0
"131" 1 1
"132" 0 0
"133" 0 0
"134" 0 0
"135" 1 1
"136" 1 1
"137" 1 1
"138" 1 1
"139" 0 0
"140" 1 1
"141" 1 1
"142" 1 1
"143" 1 1
"144" 1 1
"145" 0 0
"146" 0 0
"147" -1 -1
"148" 0 0
"149" -1 -1
"150" 1 1
"151" 0 0
"152" -1 -1
"153" -1 -1
"154" 0 0
"155" 0 0
"156" 1 1
"157" 1 1
"158" 1 1
"159" -1 -1
"160" 0 0
"161" 1 1
"162" 1 1
"163" 0 0
"164" 0 0
"165" 0 -1
"166" 0 0
"167" 0 1
"168" 0 0
"169" 0 0
"170" 1 1
"171" 1 1
"172" 1 1
"173" 1 1
"174" 0 0
"175" 0 1
"176" 0 -1
"177" 1 1
"178" 1 1
"179" 0 0
"180" 0 0
